"time","year","week","BadenWuerttemberg","Bavaria","Berlin","Brandenburg","Bremen","Hamburg","Hesse","MecklenburgVorpommern","Lower.Saxony","North.RhineWestphalia","RhinelandPalatinate","Saarland","Saxony","SaxonyAnhalt","SchleswigHolstein","Thuringia","Unknown","Germany"
2017,2016,52,1,5,1,0,0,0,1,0,1,3,0,1,0,0,0,0,0,13
2017.01923076923,2017,1,3,3,2,0,1,0,2,0,0,10,1,0,1,0,0,0,0,23
2017.03846153846,2017,2,1,3,0,0,0,0,2,0,4,6,0,0,0,1,0,0,0,17
2017.05769230769,2017,3,2,5,1,0,0,0,1,0,0,2,1,0,0,0,1,0,0,13
2017.07692307692,2017,4,4,5,1,0,0,0,3,1,0,1,0,0,0,0,0,2,0,17
2017.09615384615,2017,5,0,3,0,1,0,0,0,1,1,6,1,0,0,0,0,1,0,14
2017.11538461538,2017,6,1,8,2,0,0,1,1,0,2,7,1,0,1,0,2,0,0,26
2017.13461538462,2017,7,0,5,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,11
2017.15384615385,2017,8,1,2,0,1,0,0,3,2,4,7,1,1,0,0,0,0,0,22
2017.17307692308,2017,9,2,2,0,1,0,2,2,0,3,2,0,0,1,0,0,0,0,15
2017.19230769231,2017,10,3,5,0,1,0,0,3,0,3,4,0,0,0,2,1,0,0,22
2017.21153846154,2017,11,1,2,0,1,0,1,4,0,0,5,0,0,0,0,2,0,0,16
2017.23076923077,2017,12,1,5,2,0,0,0,1,0,1,2,0,1,1,1,1,0,0,16
2017.25,2017,13,2,8,0,1,0,0,5,1,0,3,1,0,0,1,1,0,0,23
2017.26923076923,2017,14,1,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,8
2017.28846153846,2017,15,1,2,1,0,1,0,2,0,4,1,3,0,0,1,1,0,0,17
2017.30769230769,2017,16,0,1,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,7
2017.32692307692,2017,17,0,7,2,0,0,0,2,0,4,3,1,0,1,0,0,0,0,20
2017.34615384615,2017,18,0,2,2,0,0,1,5,0,0,5,1,0,0,0,0,0,0,16
2017.36538461538,2017,19,1,4,1,1,0,2,7,0,0,4,2,0,0,0,0,0,0,22
2017.38461538462,2017,20,0,2,1,0,0,1,2,1,0,3,1,0,2,0,1,0,0,14
2017.40384615385,2017,21,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,7
2017.42307692308,2017,22,0,2,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,7
2017.44230769231,2017,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017.46153846154,2017,24,0,0,3,1,0,0,2,0,1,4,1,0,0,1,1,0,0,14
2017.48076923077,2017,25,1,1,0,0,0,0,3,0,2,9,1,0,0,1,0,1,0,19
2017.5,2017,26,2,4,0,0,0,0,1,0,0,8,1,0,1,0,1,0,0,18
2017.51923076923,2017,27,0,0,0,1,0,1,2,0,1,4,4,0,0,0,1,0,0,14
2017.53846153846,2017,28,0,1,1,0,0,0,0,0,1,3,4,0,0,1,1,0,0,12
2017.55769230769,2017,29,2,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,8
2017.57692307692,2017,30,0,0,1,1,0,0,0,0,2,3,1,0,0,0,0,0,0,8
2017.59615384615,2017,31,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2017.61538461538,2017,32,1,0,2,0,0,1,0,0,1,2,1,0,0,0,0,0,0,8
2017.63461538462,2017,33,0,2,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,7
2017.65384615385,2017,34,2,1,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,8
2017.67307692308,2017,35,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
2017.69230769231,2017,36,0,1,0,0,0,1,0,0,0,3,2,0,1,0,1,0,0,9
2017.71153846154,2017,37,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
